magazine_id,data_article,data_external_id,aria_label,lang,tag_name,class_name,page_number,url
7,1698698/47/5,_46_7,Tysk julemand kan pludselig ukrainsk,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/47/6,_46_8,Harry Potter-sokker truer kystmiljøet,da,path,"{'animVal': 'article', 'baseVal': 'article'}",23,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/44
7,1698698/48/1,_48_1,Angunnguaq Innersuannappoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",24,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/46
7,1698698/48/2,_48_2,Innersuaq gik til Angunnguaq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",24,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/46
7,1698698/6/1,_6_1,En meget følsom sag,da,path,"{'animVal': 'article', 'baseVal': 'article'}",3,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/4
7,1698698/8/1,_8_1,Novembarimi naneruutinik ikiterineq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",4,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/6
7,1698698/8/2,_8_2,At tænde lys i november Tavshed er guld…,da,path,"{'animVal': 'article', 'baseVal': 'article'}",4,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/7/pages/6
8,1702870/10/1,_10_1,»Gavner ikke befolkningen«,da,path,"{'animVal': 'article', 'baseVal': 'article'}",5,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/8
8,1702870/10/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",5,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/8
8,1702870/12/1,_12_1,Nakorsamut utaqqineq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/10
8,1702870/12/2,_12_3,Venter på lægen,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/10
8,1702870/13/1,_12_2,Uagut inuiaqatigiinnik aaqqissuussisuuvugut  paata tunngavigalugu immik sumik ingerlaqqullugu taa ralugu partiip ilisarnaatigin git naleqartitat tunngaviusu taassannginnissaat. Aamma Vi er systemet Sooq annaasaqaaterujussuuva? Soorlumi: partiimi taaguunneqarnerpaat pingajuata ilaasortaajunnaarnera. Nukissalik,da,path,"{'animVal': 'article', 'baseVal': 'article'}",6,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/10
8,1702870/16/1,_16_1,nutaarsiassat naatsut kort nyt,da,path,"{'animVal': 'article', 'baseVal': 'article'}",8,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/14
8,1702870/18/1,_18_1,Folkeafstemning om Østgrønland,da,path,"{'animVal': 'article', 'baseVal': 'article'}",9,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/16
8,1702870/19/1,_18_2,Tunu pillugu innuttaasunik taasititsineq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",9,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/16
8,1702870/19/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",10,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/18
8,1702870/2/1,_2_1,Meeraaraq tikilluarit,da,path,"{'animVal': 'article', 'baseVal': 'article'}",1,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/1
8,1702870/2/2,_2_2,Velkommen baby,da,path,"{'animVal': 'article', 'baseVal': 'article'}",1,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/1
8,1702870/20/1,_20_1,Qimmit Nuummit kingoqqisut ikilisut?,da,path,"{'animVal': 'article', 'baseVal': 'article'}",10,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/18
8,1702870/22/1,_22_1,Færre Nuuk-hunde?,da,path,"{'animVal': 'article', 'baseVal': 'article'}",11,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/20
8,1702870/24/1,_24_1,Quasattukkoorneq – ukiup ataatsip qaangiunnerani,da,path,"{'animVal': 'article', 'baseVal': 'article'}",12,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/22
8,1702870/24/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",12,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/22
8,1702870/26/1,_26_1,På glatis – et år efter,da,path,"{'animVal': 'article', 'baseVal': 'article'}",13,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/24
8,1702870/26/2,undefined,,,path,"{'animVal': 'article', 'baseVal': 'article'}",13,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/24
8,1702870/28/1,_28_1,Naasut silap kissakkiartorneranut peqqutaaqataasut,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/28/2,_28_3,Planter skubber til opvarmning,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/28/3,_28_7,Aalisartoq tammaaneqartoq,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/29/1,_28_2,Nukarleq kisimiittorlu,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
8,1702870/29/2,_28_4,Yngste og eneste,da,path,"{'animVal': 'article', 'baseVal': 'article'}",14,https://sermitsiaq.e-pages.pub/titles/ag/13765/publications/8/pages/26
